timestamp,min price,max price,deviation
2021-05-01 01:38:11.043927,0.7640861,0.88478882,0.034532417366122295
2021-05-01 01:41:13.973790,0.76039486,0.88478882,0.03530457294648415
2021-05-01 22:22:26.750879,0.77073033,0.80468971,0.010474082508209548
2021-05-02 22:45:51.754218,0.7641695,0.78184479,0.004381879861461161
2021-05-03 01:29:09.015879,0.73020641,0.76786114,0.012567639454400517
2021-05-03 17:40:32.311219,0.64034314,0.66000087,0.0045354399083511986
2021-05-03 20:13:37.981858,0.57946287,0.61613774,0.010973573983003259
2021-05-04 00:03:13.681348,0.57513125,0.59416174,0.004643248201765769
2021-05-04 10:36:38.871677,0.53824328,0.56263531,0.007064543237213496
2021-05-04 13:54:38.703120,0.50355005,0.5257159,0.00656858109902505
2021-05-04 20:07:26.443478,0.48553772,0.51421138,0.007892834500783276
2021-05-05 09:30:07.258828,0.50148119,0.51760999,0.0065490585295141885
2021-05-05 14:43:27.526968,0.53557217,0.58546108,0.01557270878797163
2021-05-05 16:09:35.837135,0.53557217,0.54657707,0.0027626493215579745
2021-05-05 17:58:48.409915,0.50603994,0.53830842,0.007411952579049785
2021-05-05 18:33:33.217974,0.50603994,0.5427095,0.008575310192951201
2021-05-05 21:18:51.801014,0.51460434,0.55737733,0.010468183780164583
2021-05-05 22:03:06.575561,0.51848884,0.54268988,0.007157807484661687
2021-05-06 15:56:20.277781,0.51945307,0.57948534,0.017591883229387196
2021-05-07 09:15:53.175392,0.50814399,0.53098525,0.005487452265135987
